id,normalized_name,category_code,founded_at,country_code
c:105267,droisys,consulting,2003-02-02,USA
c:10529,fancorps,network_hosting,2005-01-01,USA
c:105299,creadio,public_relations,2007-01-01,USA
c:1053,uptake,web,2008-01-01,USA
c:105305,niveus medical,biotech,2008-01-01,USA
c:105326,epixis,biotech,2003-01-01,FRA
c:10533,cellogic,mobile,2010-01-01,ISR
c:105346,gkb online,ecommerce,2011-03-01,IND
c:105362,redquadrant,consulting,2009-06-25,GBR
c:105371,elex technology,games_video,2008-01-01,CHN
c:105386,richard pauer 3p,ecommerce,1996-01-01,SVK
c:105399,3forty,consulting,2008-01-01,GBR
c:1054,faniq,sports,2006-01-01,USA
c:10540,weblocal,other,2008-01-01,USA
