,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
4539,c:21275,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
19481,c:163857,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
4607,c:21554,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
4621,c:21707,seed,100000,0,0,0,0,0,0,0,0,0,1,0
28011,c:260110,a,14500000,4,1,0,0,0,0,0,0,0,0,0
13207,c:43271,seed,350000,0,0,0,0,0,0,0,0,0,1,0
4645,c:21857,a,5000000,1,1,0,0,0,0,0,0,0,0,0
4647,c:21863,a,10000000,0,1,0,0,0,0,0,0,0,0,0
27994,c:260038,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
13196,c:65158,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
28023,c:260396,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
3482,c:15041,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
14201,c:7570,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
14204,c:73480,a,350000,0,1,0,0,0,0,0,0,0,0,0
15060,c:80320,seed,57000,1,0,0,0,0,0,0,0,0,1,0
15059,c:80314,seed,68630,0,0,0,0,0,0,0,0,0,1,0
18254,c:153977,seed,170000,0,0,0,0,0,0,0,0,0,1,0
18257,c:154006,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
2375,c:6931,a,2000000,0,1,0,0,0,0,0,0,0,0,0
2385,c:6967,seed,300000,0,0,0,0,0,0,0,0,0,1,0
2388,c:1250,angel,1179700,4,0,1,0,0,0,0,0,0,0,0
30200,c:165195,seed,69068,0,0,0,0,0,0,0,0,0,1,0
2405,c:6666,angel,50000,1,0,1,0,0,0,0,0,0,0,0
2411,c:4856,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
30181,c:264870,seed,45000,1,0,0,0,0,0,0,0,0,1,0
15032,c:80039,angel,200000,1,0,1,0,0,0,0,0,0,0,0
15028,c:79993,seed,500000,1,0,0,0,0,0,0,0,0,1,0
30172,c:271405,seed,180000,1,0,0,0,0,0,0,0,0,1,0
2421,c:4446,angel,500000,1,0,1,0,0,0,0,0,0,0,0
18268,c:154143,seed,400000,0,0,0,0,0,0,0,0,0,1,0
2432,c:7215,b,12000000,2,0,0,1,0,0,0,0,0,0,0
15070,c:80415,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
30167,c:274214,seed,750000,0,0,0,0,0,0,0,0,0,1,0
18243,c:153895,seed,120000,0,0,0,0,0,0,0,0,0,1,0
18232,c:153791,angel,400000,1,0,1,0,0,0,0,0,0,0,0
2233,c:6327,seed,300000,0,0,0,0,0,0,0,0,0,1,0
