acquiring_object_id,acquired_object_id,price_amount,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquiring_time_since_founded
c:38640,c:38641,171900000,0,0,0,0,0,0,1,0,0,0,[6931.]
c:1878,c:9513,17000000,0,0,0,0,0,0,1,1,0,0,[6951.]
c:1727,c:37929,60000000,0,0,0,0,0,0,1,1,0,0,[6951.]
c:29,c:142004,10000000,0,0,0,0,0,0,1,0,1,0,[6961.]
c:4733,c:129,168000000,0,0,0,0,0,0,1,0,0,0,[6992.]
c:4687,c:45233,25000000,0,0,0,0,0,0,1,1,0,0,[6994.]
c:17124,c:35887,123000000,0,0,0,0,0,0,1,1,0,0,[7006.]
c:10475,c:43526,450000000,0,0,0,0,0,0,1,0,0,0,[7007.]
c:351,c:599,435000000,0,0,0,0,0,0,1,1,0,0,[7009.]
c:13010,c:60222,289500000,0,0,0,0,0,0,1,0,1,0,[7009.]
c:1242,c:10170,100000000,0,0,0,0,0,0,1,0,0,0,[7017.]
c:29,c:144457,30000000,0,0,0,0,0,0,1,0,0,0,[7023.]
c:317,c:1612,150000000,0,0,0,0,0,0,1,0,0,0,[7027.]
c:5473,c:22796,157000000,0,0,0,0,0,0,1,1,0,0,[7069.]
c:227,c:228,7140000,0,0,0,0,0,0,1,0,0,0,[7078.]
c:29,c:1088,1100000000,0,0,0,0,0,0,1,0,0,0,[7079.]
c:13529,c:25712,50000000,0,0,0,0,0,0,1,0,1,0,[7091.]
c:29,c:56989,50000000,0,0,0,0,0,0,1,0,0,0,[7122.]
c:29,c:886,48000000,0,0,0,0,0,0,1,0,0,0,[7128.]
c:28620,c:28619,5150000,0,0,0,0,0,0,1,0,0,0,[7151.]
c:29,c:29618,65000000,0,0,0,0,0,0,1,0,0,0,[7152.]
c:53942,c:220985,1390000000,0,0,0,0,0,0,1,0,0,0,[7162.]
c:28759,c:28758,2220000,0,0,0,0,0,0,1,0,0,0,[7163.]
c:247865,c:247861,512000000,0,0,0,0,0,0,1,0,0,0,[7165.]
c:246335,c:257669,98567,0,0,0,0,0,0,1,0,1,0,[7168.]
c:30553,c:30552,345130000,0,0,0,0,0,0,1,0,0,0,[7175.]
c:17124,c:26556,316000000,0,0,0,0,0,0,1,0,0,0,[7225.]
